url,api,get,post,put,patch,delete,priority,assignee
/distributionpoints,classic,True,N/A,N/A,N/A,N/A
/distributionpoints/id/{id},classic,True,False,True,N/A,True
/distributionpoints/name/{name},classic,True,N/A,N/A,N/A,N/A
/dockitems,classic,True,N/A,N/A,N/A,N/A
/dockitems/id/{id},classic,True,False,True,N/A,True
/dockitems/name/{name},classic,True,N/A,N/A,N/A,N/A
/ebooks,classic,True,N/A,N/A,N/A,N/A
/ebooks/id/{id},classic,True,False,True,N/A,True
/ebooks/id/{id}/subset/{subset},classic,False,N/A,N/A,N/A,N/A
/ebooks/name/{name},classic,True,N/A,N/A,N/A,N/A
/fileuploads/{resource}/{idType}/{id},classic,N/A,False,N/A,N/A,N/A
/gsxconnection,classic,False,N/A,False,N/A,N/A
/healthcarelistener,classic,False,N/A,N/A,N/A,N/A
/healthcarelistener/id/{id},classic,False,N/A,False,N/A,N/A
/healthcarelistenerrule,classic,False,N/A,N/A,N/A,N/A
/healthcarelistenerrule/id/{id},classic,False,False,False,N/A,N/A
/ibeacons,classic,True,N/A,N/A,N/A,N/A
/ibeacons/id/{id},classic,True,False,True,N/A,True
/ibeacons/name/{name},classic,True,N/A,N/A,N/A,N/A
/infrastructuremanager,classic,False,N/A,N/A,N/A,N/A
/infrastructuremanager/id/{id},classic,False,N/A,False,N/A,N/A
/jsonwebtokenconfigurations,classic,False,N/A,N/A,N/A,N/A
/jsonwebtokenconfigurations/id/{id},classic,False,False,False,N/A,False
/jssuser,classic,False,N/A,N/A,N/A,N/A
/ldapservers,classic,True,N/A,N/A,N/A,N/A
/ldapservers/id/{id},classic,True,False,True,N/A,True
/ldapservers/id/{id}/group/{group},classic,True,N/A,N/A,N/A,N/A
/ldapservers/id/{id}/group/{group}/user/{user},classic,True,N/A,N/A,N/A,N/A
/ldapservers/id/{id}/user/{user},classic,True,N/A,N/A,N/A,N/A
/ldapservers/name/{name},classic,True,N/A,N/A,N/A,N/A
/licensedsoftware,classic,True,N/A,N/A,N/A,N/A
/licensedsoftware/id/{id},classic,True,False,True,N/A,True
/licensedsoftware/name/{name},classic,True,N/A,N/A,N/A,N/A
/logflush,classic,N/A,N/A,N/A,N/A,False
/logflush/{log}/id/{id}/interval/{interval},classic,N/A,N/A,N/A,N/A,False
/logflush/{log}/interval/{interval},classic,N/A,N/A,N/A,N/A,False
/macapplications,classic,True,N/A,N/A,N/A,N/A
/macapplications/id/{id},classic,True,False,True,N/A,True
/macapplications/id/{id}/subset/{subset},classic,True,N/A,N/A,N/A,N/A
/macapplications/name/{name},classic,True,N/A,N/A,N/A,N/A
/managedpreferenceprofiles,classic,False,N/A,N/A,N/A,N/A
/managedpreferenceprofiles/id/{id},classic,False,False,False,N/A,False
/managedpreferenceprofiles/id/{id}/subset/{subset},classic,False,N/A,N/A,N/A,N/A
/managedpreferenceprofiles/name/{name},classic,False,N/A,N/A,N/A,N/A
/mobiledeviceapplications,classic,True,N/A,N/A,N/A,N/A
/mobiledeviceapplications/bundleid/{bundleid},classic,True,N/A,N/A,N/A,N/A
/mobiledeviceapplications/bundleid/{bundleid}/version/{version},classic,True,N/A,N/A,N/A,N/A
/mobiledeviceapplications/id/{id},classic,True,False,True,N/A,True
/mobiledeviceapplications/id/{id}/subset/{subset},classic,True,N/A,N/A,N/A,N/A
/mobiledeviceapplications/name/{name},classic,True,N/A,N/A,N/A,N/A
/mobiledevicecommands,classic,False,N/A,N/A,N/A,N/A
/mobiledevicecommands/command,classic,N/A,False,N/A,N/A,N/A
/mobiledevicecommands/command/DeviceLock/{lock_message}/id/{id_list},classic,N/A,False,N/A,N/A,N/A
/mobiledevicecommands/command/DeviceName/{device_name}/id/{id_list},classic,N/A,False,N/A,N/A,N/A
/mobiledevicecommands/command/ScheduleOSUpdate/{install_action}/id/{id_list},classic,N/A,False,N/A,N/A,N/A
/mobiledevicecommands/command/ScheduleOSUpdate/{install_action}/{product_version}/id/{id_list},classic,N/A,False,N/A,N/A,N/A
/mobiledevicecommands/command/{command},classic,False,False,N/A,N/A,N/A
/mobiledevicecommands/command/{command}/id/{id_list},classic,N/A,False,N/A,N/A,N/A
/mobiledevicecommands/name/{name},classic,False,N/A,N/A,N/A,N/A
/mobiledevicecommands/uuid/{uuid},classic,False,N/A,N/A,N/A,N/A
/mobiledeviceconfigurationprofiles,classic,True,N/A,N/A,N/A,N/A
/mobiledeviceconfigurationprofiles/id/{id},classic,True,False,True,N/A,True
/mobiledeviceconfigurationprofiles/id/{id}/subset/{subset},classic,True,N/A,N/A,N/A,N/A
/mobiledeviceconfigurationprofiles/name/{name},classic,True,N/A,N/A,N/A,N/A
