url,api,get,post,put,patch,delete
/mobiledeviceenrollmentprofiles/id/{id}/subset/{subset},classic,False,N/A,N/A,N/A,N/A
/mobiledeviceenrollmentprofiles/invitation/{invitation},classic,False,N/A,N/A,N/A,N/A
/mobiledeviceenrollmentprofiles/name/{name},classic,False,N/A,N/A,N/A,N/A
/mobiledeviceextensionattributes,classic,False,N/A,N/A,N/A,N/A
/mobiledeviceextensionattributes/id/{id},classic,False,False,False,N/A,False
/mobiledeviceextensionattributes/name/{name},classic,False,N/A,N/A,N/A,N/A
/mobiledevicegroups,classic,False,N/A,N/A,N/A,N/A
/mobiledevicegroups/id/{id},classic,False,False,False,N/A,False
/mobiledevicegroups/name/{name},classic,False,N/A,N/A,N/A,N/A
/mobiledevicehistory/id/{id},classic,False,N/A,N/A,N/A,N/A
/mobiledevicehistory/id/{id}/subset/{subset},classic,False,N/A,N/A,N/A,N/A
/mobiledevicehistory/macaddress/{macaddress},classic,False,N/A,N/A,N/A,N/A
/mobiledevicehistory/name/{name},classic,False,N/A,N/A,N/A,N/A
/mobiledevicehistory/serialnumber/{serialnumber},classic,False,N/A,N/A,N/A,N/A
/mobiledevicehistory/udid/{udid},classic,False,N/A,N/A,N/A,N/A
/mobiledeviceinvitations,classic,False,N/A,N/A,N/A,N/A
/mobiledeviceinvitations/id/{id},classic,False,False,N/A,N/A,False
/mobiledeviceinvitations/invitation/{invitation},classic,False,N/A,N/A,N/A,N/A
/mobiledeviceprovisioningprofiles,classic,False,N/A,N/A,N/A,N/A
/mobiledeviceprovisioningprofiles/id/{id},classic,False,False,False,N/A,False
/mobiledeviceprovisioningprofiles/id/{id}/subset/{subset},classic,False,N/A,N/A,N/A,N/A
/mobiledeviceprovisioningprofiles/name/{name},classic,False,N/A,N/A,N/A,N/A
/mobiledeviceprovisioningprofiles/uuid/{uuid},classic,False,N/A,N/A,N/A,N/A
/mobiledevices,classic,False,N/A,N/A,N/A,N/A
/mobiledevices/id/{id},classic,False,False,False,N/A,False
/mobiledevices/id/{id}/subset/{subset},classic,False,N/A,N/A,N/A,N/A
/mobiledevices/macaddress/{macaddress},classic,False,N/A,N/A,N/A,N/A
/mobiledevices/match/{match},classic,False,N/A,N/A,N/A,N/A
/mobiledevices/name/{name},classic,False,N/A,N/A,N/A,N/A
/mobiledevices/serialnumber/{serialnumber},classic,False,N/A,N/A,N/A,N/A
/mobiledevices/udid/{udid},classic,False,N/A,N/A,N/A,N/A
/networksegments,classic,False,N/A,N/A,N/A,N/A
/networksegments/id/{id},classic,False,False,False,N/A,False
/networksegments/name/{name},classic,False,N/A,N/A,N/A,N/A
/osxconfigurationprofiles,classic,False,N/A,N/A,N/A,N/A
/osxconfigurationprofiles/id/{id},classic,False,False,False,N/A,False
/osxconfigurationprofiles/id/{id}/subset/{subset},classic,False,N/A,N/A,N/A,N/A
/osxconfigurationprofiles/name/{name},classic,False,N/A,N/A,N/A,N/A
/packages,classic,False,N/A,N/A,N/A,N/A
/packages/id/{id},classic,False,False,False,N/A,False
/packages/name/{name},classic,False,N/A,N/A,N/A,N/A
/patchavailabletitles/sourceid/{id},classic,False,N/A,N/A,N/A,N/A
/patches,classic,False,N/A,N/A,N/A,N/A
/patches/id/{id},classic,False,False,False,N/A,False
/patches/id/{id}/version/{version},classic,False,N/A,N/A,N/A,N/A
/patches/name/{name},classic,False,N/A,N/A,N/A,N/A
/patchexternalsources,classic,False,N/A,N/A,N/A,N/A
/patchexternalsources/id/{id},classic,False,False,False,N/A,False
/patchexternalsources/name/{name},classic,False,N/A,N/A,N/A,N/A
/patchinternalsources,classic,False,N/A,N/A,N/A,N/A
/patchinternalsources/id/{id},classic,False,N/A,N/A,N/A,N/A
/patchinternalsources/name/{name},classic,False,N/A,N/A,N/A,N/A
/patchpolicies,classic,False,N/A,N/A,N/A,N/A
/patchpolicies/id/{id},classic,False,N/A,False,N/A,False
/patchpolicies/id/{id}/subset/{subset},classic,False,N/A,N/A,N/A,N/A
/patchpolicies/softwaretitleconfig/id/{softwaretitleconfigid},classic,False,False,N/A,N/A,N/A
/patchreports/patchsoftwaretitleid/{id},classic,False,N/A,N/A,N/A,N/A
/patchreports/patchsoftwaretitleid/{id}/version/{version},classic,False,N/A,N/A,N/A,N/A
/patchsoftwaretitles,classic,False,N/A,N/A,N/A,N/A
/patchsoftwaretitles/id/{id},classic,False,False,False,N/A,False
/peripherals,classic,False,N/A,N/A,N/A,N/A
/peripherals/id/{id},classic,False,False,False,N/A,False
/peripherals/id/{id}/subset/{subset},classic,False,N/A,N/A,N/A,N/A
/peripheraltypes,classic,False,N/A,N/A,N/A,N/A
/peripheraltypes/id/{id},classic,False,False,False,N/A,False
/policies,classic,False,N/A,N/A,N/A,N/A
/policies/category/{category},classic,False,N/A,N/A,N/A,N/A
/policies/createdBy/{createdBy},classic,False,N/A,N/A,N/A,N/A
/policies/id/{id},classic,False,False,False,N/A,False
/policies/id/{id}/subset/{subset},classic,False,N/A,N/A,N/A,N/A
/policies/name/{name},classic,False,N/A,N/A,N/A,N/A
/printers,classic,False,N/A,N/A,N/A,N/A
/printers/id/{id},classic,False,False,False,N/A,False
/printers/name/{name},classic,False,N/A,N/A,N/A,N/A
/removablemacaddresses,classic,False,N/A,N/A,N/A,N/A
/removablemacaddresses/id/{id},classic,False,False,False,N/A,False
/removablemacaddresses/name/{name},classic,False,N/A,N/A,N/A,N/A
/restrictedsoftware,classic,False,N/A,N/A,N/A,N/A
/restrictedsoftware/id/{id},classic,False,False,False,N/A,False
/restrictedsoftware/name/{name},classic,False,N/A,N/A,N/A,N/A
/savedsearches,classic,False,N/A,N/A,N/A,N/A
/savedsearches/id/{id},classic,False,N/A,N/A,N/A,N/A
/savedsearches/name/{name},classic,False,N/A,N/A,N/A,N/A
/scripts,classic,False,N/A,N/A,N/A,N/A
/scripts/id/{id},classic,False,False,False,N/A,False
/scripts/name/{name},classic,False,N/A,N/A,N/A,N/A
/sites,classic,False,N/A,N/A,N/A,N/A
/sites/id/{id},classic,False,False,False,N/A,False
