url,api,get,post,put,patch,delete
/healthcarelistener/id/{id},pro,False,N/A,False,N/A,N/A
/healthcarelistenerrule,pro,False,N/A,N/A,N/A,N/A
/healthcarelistenerrule/id/{id},pro,False,False,False,N/A,N/A
/ibeacons,pro,True,N/A,N/A,N/A,N/A
/ibeacons/id/{id},pro,True,False,True,N/A,True
/ibeacons/name/{name},pro,True,N/A,N/A,N/A,N/A
/infrastructuremanager,pro,False,N/A,N/A,N/A,N/A
/infrastructuremanager/id/{id},pro,False,N/A,False,N/A,N/A
/jsonwebtokenconfigurations,pro,False,N/A,N/A,N/A,N/A
/jsonwebtokenconfigurations/id/{id},pro,False,False,False,N/A,False
/jssuser,pro,False,N/A,N/A,N/A,N/A
/ldapservers,pro,True,N/A,N/A,N/A,N/A
/ldapservers/id/{id},pro,True,False,True,N/A,True
/ldapservers/id/{id}/group/{group},pro,True,N/A,N/A,N/A,N/A
/ldapservers/id/{id}/group/{group}/user/{user},pro,True,N/A,N/A,N/A,N/A
/ldapservers/id/{id}/user/{user},pro,True,N/A,N/A,N/A,N/A
/ldapservers/name/{name},pro,True,N/A,N/A,N/A,N/A
/licensedsoftware,pro,True,N/A,N/A,N/A,N/A
/licensedsoftware/id/{id},pro,True,False,True,N/A,True
/licensedsoftware/name/{name},pro,True,N/A,N/A,N/A,N/A
/logflush,pro,N/A,N/A,N/A,N/A,False
/logflush/{log}/id/{id}/interval/{interval},pro,N/A,N/A,N/A,N/A,False
/logflush/{log}/interval/{interval},pro,N/A,N/A,N/A,N/A,False
/macapplications,pro,True,N/A,N/A,N/A,N/A
/macapplications/id/{id},pro,True,False,True,N/A,True
/macapplications/id/{id}/subset/{subset},pro,True,N/A,N/A,N/A,N/A
/macapplications/name/{name},pro,True,N/A,N/A,N/A,N/A
/managedpreferenceprofiles,pro,False,N/A,N/A,N/A,N/A
/managedpreferenceprofiles/id/{id},pro,False,False,False,N/A,False
/managedpreferenceprofiles/id/{id}/subset/{subset},pro,False,N/A,N/A,N/A,N/A
/managedpreferenceprofiles/name/{name},pro,False,N/A,N/A,N/A,N/A
/mobiledeviceapplications,pro,True,N/A,N/A,N/A,N/A
/mobiledeviceapplications/bundleid/{bundleid},pro,True,N/A,N/A,N/A,N/A
/mobiledeviceapplications/bundleid/{bundleid}/version/{version},pro,True,N/A,N/A,N/A,N/A
/mobiledeviceapplications/id/{id},pro,True,False,True,N/A,True
/mobiledeviceapplications/id/{id}/subset/{subset},pro,True,N/A,N/A,N/A,N/A
/mobiledeviceapplications/name/{name},pro,True,N/A,N/A,N/A,N/A
/mobiledevicecommands,pro,False,N/A,N/A,N/A,N/A
/mobiledevicecommands/command,pro,N/A,False,N/A,N/A,N/A
/mobiledevicecommands/command/DeviceLock/{lock_message}/id/{id_list},pro,N/A,False,N/A,N/A,N/A
/mobiledevicecommands/command/DeviceName/{device_name}/id/{id_list},pro,N/A,False,N/A,N/A,N/A
/mobiledevicecommands/command/ScheduleOSUpdate/{install_action}/id/{id_list},pro,N/A,False,N/A,N/A,N/A
/mobiledevicecommands/command/ScheduleOSUpdate/{install_action}/{product_version}/id/{id_list},pro,N/A,False,N/A,N/A,N/A
